Date,Article 1,Article 2,Article 3,Article 4,Article 5
14-Mar,Covid-19: Dutch police break up anti-lockdown protest,Dutch elections: How COVID-19 salvaged Mark Rutte's bid amid scandal,Netherlands halts use of AstraZeneca COVID-19 vaccine,Coronavirus pandemic casts long shadow over Dutch elections,Netherlands joins Ireland in vaccine suspension over blood clot concerns
21-Mar,Netherlands trials new COVID-19 app at pilot music festivals ,Netherlands reports highest daily rise in COVID-19 cases since early January,New Covid-19 cases hit highest number since January 9; hospitalizations also on steady rise,Seven-day average highest since mid-January; experts say it's too early to relax covid restrictions,"Coronavirus upward trend continues, rules won’t be relaxed for Easter"
28-Mar,Dutch people are partying like it's 2019,Netherlands: Churchgoers breaking COVID rules attack journalists,Covid rapid test initiative aims to speed up spectators' return to big events,"New Dutch coronavirus cases above 8,500, most since January -data",Covid infections up 15% this week; Hospital cases up 8%
01-Apr,Netherlands cuts nightly curfew by an hour despite rising Covid cases,Fifteen hundred party at music festival with Covid testing,Caribbean Netherlands: Authorities maintain in place COVID-19-related international travel protocols as of March 31 /update 17,First Covid self-tests now available at Dutch pharmacies,COVID-19 #18 | Netherlands’ agreement with Belgium extended until 1 July 2021
07-Apr,COVID-19: Netherlands to Make Self-Test Kits Available to All Students and Staff by End of April,Lithuania Imposes Stricter Entry Rules for Arrivals From Belgium & the Netherlands,"Weekly coronavirus update: 48.186 new cases, 142 deaths","Rice, tissues and toilet paper: What the Netherlands hoarded during coronavirus","Anti-Asian Prejudice,also in the Netherlands–Before,During Covid-19, and Beyond"
14-Apr,Dutch govt says it’s too early to start easing the lockdown,Dutch PM Rutte extends pandemic lockdown as infections rise,Dutch face prospect of extended lockdown amidst rising COVID-19 infections,Dutch government presents five-step plan for lifting lockdown,Dutch government to introduce new strategy to speed up vaccinations
21-Apr,Dutch ease lockdown despite high COVID-19 infection rates,"Coronavirus digest: Netherlands lifts curfew, opens cafes","Dutch to lift Covid curfew, let cafes serve outdoors",Netherlands: Authorities to ease domestic COVID-19-related restrictions from April 28 /update 33,Dutch set to ease lockdown despite high COVID-19 infection rates
28-Apr,"Get your coronavirus test, join the party: Experimental mass events in the Netherlands draw fire","Dutch King's popularity diminished by COVID controversies, poll finds",Dutch toast 'better future' as Covid-hit cafes reopen,The effect of COVID-19 on global mobility and travel to the Netherlands,Coronavirus in the Netherlands: what changes today
01-May,Netherlands: Authorities maintaining COVID-19 restrictions as of April 30 /update 35,Netherlands won't ease lockdown further until at least mid May,European Parliament green lights EU coronavirus passport,How keeping health a priority is a prescription for European prosperity,Netherlands disables COVID-tracing app after discovering it helps Google collect private data
07-May,Corona in Europe – How the Netherlands failed to get Covid under control,Scientists in the Netherlands are training bees to detect COVID-19,Eurovision's noisy fans are back despite Dutch pandemic,How many people have actually died from coronavirus in the Netherlands?,Netherlands in 9th for EU Covid vaccines; 6.1 million shots estimated
14-May,Travel Firms Warn That Holidays in Netherlands Will Be More Expensive This Year,Netherlands reaches 7 million Covid vaccinations; New daily record set Wednesday,Dutch Covid hospitalizations down 24% from peak; Lockdown easing more likely,Dutch tulip farmers are hoping for a post-pandemic boom,Noisy neighbours during coronavirus plague the Netherlands
21-May,"Netherlands (Travel Restrictions, COVID Tests & Quarantine Requirements)","Brussels, MEPs agree compromise deal on EU coronavirus travel permit","Ethnic minority Amsterdammers harder hit by coronavirus, according to report","Dutch Covid hospital total plunges below 2,000; Lowest point in 10 weeks","Eurovision Rotterdam 2021 thrown into chaos after positive COVID-19 tests for Netherlands, Iceland"
26-May,Netherlands: COVID-19-related Mandatory Closures Of Rented Premises: The Consequences For Lessors And Lessees ,Coronavirus in the Netherlands: all you need to know [UPDATED],Dutch Covid hospitalizations 53% below peak; ICU total near 10-week low,Bad weather and Covid-19 delay Dutch lake project,"Netherlands: Migrant workers face job loss, homelessness & lack protection as COVID-19 spreads"
