Date,Article 1,Article 2,Article 3,Article 4,Article 5
07-Feb,France starts AstraZeneca inoculations amid decline in Covid-19 cases,Research finds Covid in France before Wuhan market outbreak,€300m for Covid vaccines and medicines to be made in France,"French COVID-19 cases, patient numbers ease as AstraZeneca inoculations start",France reports fresh fall in number of new COVID-19 cases
14-Feb,"France reports 21,231 new coronavirus cases over 24 hours",Coronavirus digest: France backs one jab for COVID survivors,The Big Question: Can France Catch Up in the Covid Vaccine Race?,"COVID-19: Previously-infected people only need one vaccine shot, say French experts",New French nasal spray eliminates 99% of Covid virus
21-Feb,France: Nice tells tourists to stay away as COVID cases soar,Covid-19: Could empty office buildings help solve France's housing crisis?,French health minister says new restrictions likely in certain regions,Macron to see in around 10 days if Covid rules can ease,French city of Nice asks tourists to stay away amid COVID surge
28-Feb,France steps up Covid rule checks to ‘avoid lockdown’,First report into side-effects of Covid vaccines in France,France and Poland ratchet up local COVID restrictions amid rising cases,Germany tightens Covid controls at French border over variants,Six Nations: French sports minister threatens France withdrawal over Covid-19 outbreak
01-Mar,"France, Germany tighten COVID-19 measures at border",France and Germany to require COVID-19 test for some border crossings,French public health chief hails efficacy of Covid curfew,France authorises first synthetic antibody treatment for Covid-19,Coronavirus digest: Germany to tighten controls at French border
07-Mar,"250,000 Covid jabs in France in one day as rollout steps up",Fast-spreading Covid-19 variants surge through Europe,French government to 'go all out' on vaccination amid COVID variants,"In France, there's no escape from Covid vaccine sceptics. What would Pasteur think?",French medical association says Covid vaccination is an 'ethical duty' for staff
14-Mar,"Covid-19 situation in Paris area is extremely tense, French PM says","COVID in Europe: Italy, France concerned over rising cases, Portugal plans to loosen restrictions","French coronavirus cases near 30,000 as vaccinations top 5 million",France raises prospect of mandatory Covid-19 jabs for healthcare staff ,France to trial digital vaccine passport scheme
21-Mar,Covid: France and Poland increase lockdown measures as infections surge,"Inter-regional travel banned, schools remain open: France’s new partial lockdown rules",COVID-19 in Europe: France and Poland begin new lockdowns to stem soaring infections,"New Covid rules France: Revised form, more shops to open",France reports COVID-19 patients in intensive care at new 2021 high
28-Mar,The vaccine misinformation battle raging in France,"Paris doctors sound alarm, warn of catastrophic overload of Covid-19 cases","French COVID-19 patient numbers rise again, adding to pressure for new lockdown",France accelerates vaccine rollout – as it happened,"EU countries tighten Covid restrictions, France 'critical'"
01-Apr,Covid: France schools to close under third lockdown,France faces tough choice to slow down COVID infections,"France to close schools and extend Covid-19 lockdown to all of the country, Macron says",Macron to address nation as France’s Covid-19 surge draws fire from critics,France to close schools and stop domestic travel after Covid surge
07-Apr,Covid-19: France's biggest stadium becomes giant vaccination centre,France and Spain ramp up COVID-19 vaccinations as cases surge,France's COVID-19 hospitalisations at a near five-month high,When will life return to normal in France after Covid-19?,Covidliste: Get a Covid vaccination from leftover doses in France
14-Apr,France suspends all Brazil flights over Covid-19 variant fears,French patients with 'long Covid' face uphill battle to recovery,"Covid France: Drive-in vaccinations, variants… Latest update April 13","COVID: France suspends flights to, from Brazil",Covid-19 to cost France nearly half a trillion euros over three years
21-Apr,France launches COVID health pass for travel to its overseas territories,How France’s Covid ‘health passport’ will work this summer,France is first EU member state to start testing digital Covid travel certificate,France ‘to start easing Covid-19 travel restrictions in May’,France launches coronavirus travel pass
28-Apr,France’s Macron expected to announce easing of COVID rules in coming days - minister,Macron: France Covid lockdown will end ‘in stages’ from May 3,Macron to outline plans to ease Covid-19 restrictions in Friday address,France Plans Talks on U.S. Flights as It Trials Vaccine Passport,Covid advisory body: France must prepare for spread of Brazil variant
01-May,France detects three cases of ‘Indian’ variant of Covid-19,Covid-19 jabs to be offered to all adults in France from June 15,Covid France: What are the key May-June dates for easing of lockdown?,President Emmanuel Macron outlines France's COVID-19 lockdown easing plans,France faces possible coronavirus vaccine glut
07-May,Covid-19: France orders 10-day quarantine for arrivals from seven more countries,France delaying EU order for COVID-19 vaccine -Germany's Welt,Covid France: ‘Spare dose’ vaccine slots open to all from May 12,French president backs lifting of patents on COVID-19 vaccines,Covid pandemic leaves Air France-KLM with huge financial hole
14-May,Number of COVID-19 patients in intensive care falls in France,Student blues: How Covid-19 is affecting education in France,New French mental health campaign for young as Covid takes its toll,Do I need a Covid PCR test to fly between regions in France?,France set to reach mid-May target of 20 million Covid vaccinations
21-May,Covid France: When can we stop wearing face masks?,EU Covid health pass approved for travel use from July 1,"France extends Covid-19 vaccination to all adults from May 31, ahead of initial target","France opens coronavirus vaccination to all adults on May 31, two weeks sooner than planned",Traveling to France during Covid-19: What you need to know before you go
26-May,France to Ban British Travellers Due to COVID-19 New Variant,"French COVID-19 cases, patient numbers and deaths fall further",EU summit welcomes Covid certificate to unlock travel,Explained: Covid-19 rules for travel to and from France,Coronavirus: what is the current situation in France?
