Country,Date,Headline,Link,,,,
UK,21-May,"UK daily COVID cases highest in a month, Indian variant rising sharply",https://www.reuters.com/world/uk/uk-records-2874-covid-19-cases-highest-daily-total-month-2021-05-20/,,,,
UK,21-May,"UK Covid: India variant case numbers rise to 3,424 – up 160% over past week – as it happened",https://www.theguardian.com/politics/live/2021/may/20/uk-covid-news-priti-patel-amber-list-countries-quarantine-indian-variant-vaccine-coronavirus-latest-updates,,,,
UK,21-May,UK faces third wave of Covid-19 as Indian variant cases double,https://newsbook.com.mt/en/fear-that-the-indian-variant-is-leading-to-the-uk-third-coronavirus-wave/,,,,
Netherlands,14-May,Travel Firms Warn That Holidays in Netherlands Will Be More Expensive This Year,https://www.schengenvisainfo.com/news/travel-firms-warn-that-holidays-in-netherlands-will-be-more-expensive-this-year/,,,,
Netherlands,14-May,Netherlands reaches 7 million Covid vaccinations; New daily record set Wednesday,https://nltimes.nl/2021/05/13/netherlands-reaches-7-million-covid-vaccinations-new-daily-record-set-wednesday,,,,
Netherlands,14-May,Dutch Covid hospitalizations down 24% from peak; Lockdown easing more likely,https://nltimes.nl/2021/05/14/dutch-covid-hospitalizations-24-peak-lockdown-easing-likely,,,,
Netherlands,14-May,Dutch tulip farmers are hoping for a post-pandemic boom,https://www.nationalgeographic.com/travel/article/for-dutch-tulip-farms-a-season-of-rebirth,,,,
Netherlands,14-May,Noisy neighbours during coronavirus plague the Netherlands,https://www.dutchnews.nl/news/2021/05/noisy-neighbours-during-coronavirus-plague-the-netherlands/,,,,
Italy,14-May,"Italy to Abolish Quarantine Requirements for Travellers From EU, UK & Israel From May 16",https://www.schengenvisainfo.com/news/italy-to-abolish-quarantine-requirements-for-travellers-from-eu-uk-israel-from-may-16/,,,,
Italy,14-May,Italy Eases Covid Rules for EU Arrivals as Tourism Season Nears,https://www.bloomberg.com/news/articles/2021-05-14/italy-eases-covid-rules-for-eu-arrivals-as-tourism-season-nears,,,,
Italy,14-May,"Italy lifts quarantine for tourists from EU, UK and Israel from 16 May",https://www.wantedinrome.com/news/italy-lifts-quarantine-for-tourists-from-eu-uk-and-israel-from-16-may.html,,,,
Italy,14-May,"Italy lifts COVID quarantine for EU, UK and Israel from Sunday",https://www.reuters.com/article/us-health-coronavirus-italy-tourism-idUSKBN2CV118,,,,
Italy,14-May,EXCLUSIVE Italy audit court rejects public funding for ReiThera COVID-19 vaccine-sources,https://www.reuters.com/business/healthcare-pharmaceuticals/exclusive-italy-audit-court-rejects-public-funding-reithera-covid-19-vaccine-2021-05-14/,,,,
Germany,14-May,German police warn of fake COVID vaccine passport problem,https://www.dw.com/en/german-police-warn-of-fake-covid-vaccine-passport-problem/a-57517240,,,,
Germany,14-May,"Coronavirus digest: German infection rate at 2-month low, vaccinations speed up",https://www.dw.com/en/coronavirus-digest-german-infection-rate-at-2-month-low-vaccinations-speed-up/a-57524226,,,,
Germany,14-May,Germany COVID Infection Rate Falls Below Key Threshold ,https://www.voanews.com/europe/germany-covid-infection-rate-falls-below-key-threshold,,,,
Germany,14-May,Germany's COVID-19 case rate falls below key threshold,https://www.reuters.com/business/healthcare-pharmaceuticals/germanys-covid-19-case-rate-falls-below-key-threshold-2021-05-14/,,,,
Germany,14-May,German Curbs Set to Ease as Covid Cases Drop Below Key Level,https://www.bloomberg.com/news/articles/2021-05-14/german-curbs-set-to-ease-after-covid-cases-fall-below-key-level,,,,
Spain,14-May,Spain aims to boost COVID-stricken tourism sector with new campaign,https://www.euractiv.com/section/economy-jobs/news/spain-aims-to-boost-covid-stricken-tourism-sector-with-new-campaign/,,,,
Spain,14-May,Weekly Covid-19 deaths in Spain fall 90% since start of vaccination campaign,https://english.elpais.com/society/2021-05-13/weekly-covid-19-deaths-in-spain-fall-90-since-start-of-vaccination-campaign.html,,,,
Spain,14-May,Spain’s regions start to announce plans for vaccinating the under-50s,https://english.elpais.com/society/2021-05-14/spains-regions-start-to-announce-plans-for-vaccinating-the-under-50s.html,,,,
Spain,14-May,Tourism minister says Spain will be ready for COVID travel certificate in June,https://www.reuters.com/world/europe/tourism-minister-says-spain-will-be-ready-covid-travel-certificate-june-2021-05-13/,,,,
Spain,14-May,"Spain is on track for herd immunity, PM says",https://www.reuters.com/business/healthcare-pharmaceuticals/spain-is-track-herd-immunity-pm-says-2021-05-13/,,,,
France,14-May,Number of COVID-19 patients in intensive care falls in France,https://www.reuters.com/world/europe/number-covid-19-patients-intensive-care-falls-france-2021-05-14/,,,,
France,14-May,Student blues: How Covid-19 is affecting education in France,https://www.france24.com/en/tv-shows/french-connections/20210513-student-blues-how-covid-19-is-affecting-education-in-france,,,,
France,14-May,New French mental health campaign for young as Covid takes its toll,New French mental health campaign for young as Covid takes its toll,,,,
France,14-May,Do I need a Covid PCR test to fly between regions in France?,https://www.connexionfrance.com/Practical/Your-Questions/Do-I-need-a-Covid-PCR-test-to-fly-between-regions-in-France,,,,
France,14-May,France set to reach mid-May target of 20 million Covid vaccinations,https://www.rfi.fr/en/france/20210514-france-set-to-reach-mid-may-target-of-20-million-vaccinated-against-covid-19,,,,
UK,14-May,"Covid-19: Five ways to make hugging safer, from the experts",https://www.bbc.com/news/uk-57083571,,,,
UK,14-May,Indian variant: Second jabs could be brought forward to tackle rise,https://www.bbc.com/news/uk-57109660,,,,
UK,14-May,Coronavirus (COVID-19): requirements to provide public health information to passengers travelling to England,https://www.gov.uk/government/publications/coronavirus-covid-19-requirements-to-provide-public-health-information-to-passengers-travelling-to-england/coronavirus-covid-19-required-information-and-exemption-periods-under-the-public-health-information-for-passengers-travelling-to-england-regulati,,,,
UK,14-May,UK reports biggest daily rise in COVID cases since April 27,https://www.reuters.com/world/uk/uk-reports-biggest-daily-rise-covid-cases-since-april-27-2021-05-13/,,,,
UK,14-May,India variant could lead to serious third wave of Covid in UK,https://www.theguardian.com/world/2021/may/14/india-covid-variant-could-lead-to-third-wave-uk,,,,
Netherlands,07-May,Corona in Europe – How the Netherlands failed to get Covid under control,https://innovationorigins.com/en/corona-in-europe-how-the-netherlands-failed-to-get-covid-under-control/,,,,
Netherlands,07-May,Scientists in the Netherlands are training bees to detect COVID-19,https://6abc.com/bees-covid-19-detecting-coronavirus-wageningen-university-netherlands/10590302/,,,,
Netherlands,07-May,Eurovision's noisy fans are back despite Dutch pandemic,https://www.bbc.com/news/world-europe-57008359,,,,
Netherlands,07-May,How many people have actually died from coronavirus in the Netherlands?,https://www.dutchnews.nl/news/2021/05/how-many-people-have-actually-died-from-coronavirus-in-the-netherlands/,,,,
Netherlands,07-May,Netherlands in 9th for EU Covid vaccines; 6.1 million shots estimated,https://nltimes.nl/2021/05/07/netherlands-9th-eu-covid-vaccines-61-million-shots-estimated,,,,
Italy,07-May,"Travel to Italy: Covid pass valid for US and UK visitors, says tourism minister",https://www.wantedinrome.com/news/travel-to-italy-covid-pass-valid-for-us-and-uk-visitors-says-tourism-minister.html,,,,
Italy,07-May,Italy: Covid-19 Emergency Update: New Protocols on safety measures in the workplace and the implementation of a vaccination program in the workplace have been signed,https://globalcompliancenews.com/italy-covid-19-emergency-update-a-new-protcol-on-safety-measures-at-the-workplace-and-a-new-protcol-for-the-implementation-of-vaccination-campaign-at-the-workpace-have-been-signed-09042021/,,,,
Italy,07-May,Italy will reopen to tourists from mid-May with country’s ‘green pass’,https://www.irishtimes.com/life-and-style/travel/europe/italy-will-reopen-to-tourists-from-mid-may-with-country-s-green-pass-1.4557121,,,,
Italy,07-May,Italy: Vaccination on the vacation islands,https://www.dw.com/en/italy-vaccination-on-the-vacation-islands/av-57419867,,,,
Italy,07-May,"Italy: Authorities extend the suspension of travel from India, Bangladesh, and Sri Lanka until May 30 due to concerns over the COVID-19 variant /update 47",https://www.garda.com/crisis24/news-alerts/476026/italy-authorities-extend-the-suspension-of-travel-from-india-bangladesh-and-sri-lanka-until-may-30-due-to-concerns-over-the-covid-19-variant-update-47,,,,
Germany,07-May,Covid: Germany rejects US-backed proposal to waive vaccine patents,https://www.bbc.com/news/world-europe-57013096,,,,
Germany,07-May,German parliament approves bill on freedoms for COVID vaccinated people,https://www.dw.com/en/german-parliament-approves-bill-on-freedoms-for-covid-vaccinated-people/a-57450855,,,,
Germany,07-May,Germany to loosen COVID restrictions for vaccinated people,https://www.dw.com/en/germany-to-loosen-covid-restrictions-for-vaccinated-people/av-57454746,,,,
Germany,07-May,Coronavirus: Germany opens up AstraZeneca COVID vaccines for all adults,https://www.dw.com/en/coronavirus-germany-opens-up-astrazeneca-covid-vaccines-for-all-adults/a-57453351,,,,
Germany,07-May,US-Germany rift as Berlin opposes plan to ditch Covid vaccine patents,https://www.theguardian.com/world/2021/may/06/us-germany-rift-covid-vaccine-patent-waivers,,,,
Spain,07-May,"The silent epidemic of lymphogranuloma venereum inside the COVID-19 pandemic in Madrid, Spain, March 2020 to February 2021",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.18.2100422,,,,
Spain,07-May,"Spain backs vaccine patent waiver, calls for more international cooperation",https://www.reuters.com/world/europe/spain-says-vaccine-patent-waiver-is-way-forward-not-enough-poor-countries-2021-05-06/,,,,
Spain,07-May,What will happen when Spain’s state of alarm expires? Supreme Court set to take key role with express rulings,https://english.elpais.com/society/2021-05-06/what-will-happen-when-spains-state-of-alarm-expires-supreme-court-set-to-take-key-role-with-express-rulings.html,,,,
Spain,07-May,"Coronavirus cases falling in Spain, but hospitals remain under pressure",https://english.elpais.com/society/2021-05-07/coronavirus-cases-falling-in-spain-but-hospitals-remain-under-pressure.html,,,,
Spain,07-May,Spain finds 11 cases of COVID-19 variant first identified in India,https://www.newindianexpress.com/world/2021/may/06/spain-finds-11-cases-of-covid-19-variant-first-identified-in-india-2299231.html,,,,
France,07-May,Covid-19: France orders 10-day quarantine for arrivals from seven more countries,https://www.france24.com/en/europe/20210507-covid-19-france-mandates-10-day-quarantine-for-arrivals-from-seven-more-countries,,,,
France,07-May,France delaying EU order for COVID-19 vaccine -Germany's Welt,https://www.reuters.com/world/europe/france-delaying-eu-order-covid-19-vaccine-germanys-welt-2021-05-07/,,,,
France,07-May,Covid France: ‘Spare dose’ vaccine slots open to all from May 12,https://www.connexionfrance.com/French-news/Covid-France-Spare-dose-vaccine-slots-open-to-all-from-May-12,,,,
France,07-May,French president backs lifting of patents on COVID-19 vaccines,https://www.aa.com.tr/en/europe/french-president-backs-lifting-of-patents-on-covid-19-vaccines/2231980,,,,
France,07-May,Covid pandemic leaves Air France-KLM with huge financial hole,https://www.rfi.fr/en/france/20210506-covid-pandemic-leaves-air-france-klm-floundering-with-huge-financial-hole,,,,
UK,07-May,Covid-19: Complaints after England booking site reveals vaccine status,https://www.bbc.com/news/uk-57010120,,,,
UK,07-May,Covid: How does the Oxford-AstraZeneca vaccine work?,https://www.bbc.com/news/health-55302595,,,,
UK,07-May,UK COVID-19 Update: Strong Protection from Pfizer Jab and Vaccine Confidence Remains High,https://www.medscape.com/viewarticle/950654,,,,
UK,07-May,"UK working with U.S., WTO on boosting COVID vaccine supply",https://www.reuters.com/business/healthcare-pharmaceuticals/uk-working-with-us-wto-boosting-covid-vaccine-supply-spokesman-2021-05-06/,,,,
UK,07-May,"COVID-19: UK reports 13 more coronavirus deaths and 2,613 new cases - as 16m now fully vaccinated",https://news.sky.com/story/covid-19-uk-reports-13-more-coronavirus-deaths-and-2-613-new-cases-as-16m-now-fully-vaccinated-12298501,,,,
Netherlands,01-May,Netherlands: Authorities maintaining COVID-19 restrictions as of April 30 /update 35,https://www.garda.com/crisis24/news-alerts/473541/netherlands-authorities-maintaining-covid-19-restrictions-as-of-april-30-update-35,,,,
Netherlands,01-May,Netherlands won't ease lockdown further until at least mid May,https://www.reuters.com/world/europe/netherlands-wont-ease-lockdown-further-until-least-mid-may-2021-05-01/,,,,
Netherlands,01-May,European Parliament green lights EU coronavirus passport,https://www.iamexpat.nl/expat-info/dutch-expat-news/european-parliament-green-lights-eu-coronavirus-passport,,,,
Netherlands,01-May,How keeping health a priority is a prescription for European prosperity,https://www.mckinsey.com/nl/our-insights,,,,
Netherlands,01-May,Netherlands disables COVID-tracing app after discovering it helps Google collect private data,https://eturbonews.com/2994368/netherlands-disables-covid-tracing-app-after-discovering-it-helps-google-collect-private-data/,,,,
Italy,01-May,Things to Remember on How to Enter Italy during Coronavirus,https://www.ivisa.com/italy-blog/things-to-remember-on-how-to-enter-italy-during-coronavirus,,,,
Italy,01-May,Italy Prolongs Quarantine for EU Travellers Until May 15,https://www.schengenvisainfo.com/news/italy-prolongs-quarantine-for-eu-travellers-until-may-15/,,,,
Italy,01-May,Italy hits daily vaccination target despite slow deliveries,https://www.reuters.com/world/europe/italy-hits-daily-vaccination-target-despite-slow-deliveries-2021-04-30/,,,,
Italy,01-May,"Italy reports 226 coronavirus deaths on Saturday, 12,965 new cases",https://www.reuters.com/world/europe/italy-reports-226-coronavirus-deaths-saturday-12965-new-cases-2021-05-01/,,,,
Italy,01-May,Italy's COVID Rt rises back up to 0.85,https://www.ansa.it/english/news/general_news/2021/04/30/italys-covid-rt-rises-back-up-to-0.85_51aedd0a-a4c4-4315-8c22-1a2bf852ba5d.html,,,,
Germany,01-May,Germans in the time of coronavirus ,https://www.politico.eu/article/germans-in-the-time-of-covid-19/,,,,
Germany,01-May,German economy shrinks 1.7% amid COVID crisis,https://www.dw.com/en/german-economy-shrinks-17-amid-covid-crisis/a-57385671,,,,
Germany,01-May,Germany sets new European record with 1m Covid vaccinations in a day,https://www.standard.co.uk/news/uk/germany-europe-covid-vaccine-record-b932580.html,,,,
Germany,01-May,Germany could decide how to lift COVID-19 curbs from vaccinated people next week -minister,https://www.reuters.com/world/europe/germany-could-decide-how-lift-covid-19-curbs-vaccinated-people-next-week-2021-04-30/,,,,
Germany,01-May,Coronavirus pandemic in Germany: Big company doctors start vaccination on site,https://www.france24.com/en/video/20210430-coronavirus-pandemic-in-germany-big-company-doctors-start-vaccination-on-site,,,,
Spain,01-May,Portugal-Spain border opens for 1st time since January,https://www.aa.com.tr/en/europe/portugal-spain-border-opens-for-1st-time-since-january/2226566,,,,
Spain,01-May,"Coronavirus incidence holds steady in Spain, despite high rates in regions such as the Basque Country and Madrid",https://english.elpais.com/society/2021-04-30/coronavirus-incidence-holds-steady-in-spain-despite-high-rates-in-regions-such-as-the-basque-country-and-madrid.html,,,,
Spain,01-May,Portugal to reopen border with Spain as coronavirus measures ease,https://www.euronews.com/2021/04/30/portugal-to-reopen-border-with-spain-as-coronavirus-measures-ease,,,,
Spain,01-May,"Spain extends AstraZeneca dose gap to 16 weeks, beyond EU approved limit",https://www.channelnewsasia.com/news/world/spain-extends-astrazeneca-covid-19-dose-gap-to-16-weeks-beyond-14720238,,,,
Spain,01-May,"Spain extends AstraZeneca COVID-19 dose gap to 16 weeks, beyond EU approved limit",https://www.reuters.com/world/europe/spain-extend-gap-between-astrazeneca-doses-16-weeks-2021-04-30/,,,,
France,01-May,France detects three cases of ‘Indian’ variant of Covid-19,https://www.france24.com/en/france/20210430-france-detects-three-cases-of-indian-variant-of-covid-19,,,,
France,01-May,Covid-19 jabs to be offered to all adults in France from June 15,https://www.france24.com/en/france/20210430-france-to-offer-covid-19-jabs-to-all-adults-from-june-15,,,,
France,01-May,Covid France: What are the key May-June dates for easing of lockdown?,https://www.connexionfrance.com/French-news/Covid-France-What-are-Macron-s-key-May-and-June-dates-for-the-easing-of-lockdown-restrictions,,,,
France,01-May,President Emmanuel Macron outlines France's COVID-19 lockdown easing plans,https://newseu.cgtn.com/news/2021-05-01/President-Macron-outlines-France-s-COVID-19-lockdown-easing-plans-ZTmhe1P9Wo/index.html,,,,
France,01-May,France faces possible coronavirus vaccine glut,https://www.politico.eu/article/france-coronavirus-vaccine-glut/,,,,
UK,01-May,Covid-19: UK infections fall as clubbers return for trial,https://www.bbc.com/news/uk-56946226,,,,
UK,01-May,"Post-vaccine COVID infections and deaths rare, UK study finds",https://www.reuters.com/business/healthcare-pharmaceuticals/post-vaccine-covid-infections-deaths-rare-uk-study-finds-2021-04-30/,,,,
UK,01-May,Coronavirus (COVID-19): international travel and managed isolation (quarantine),https://www.gov.scot/publications/coronavirus-covid-19-international-travel-quarantine/,,,,
UK,01-May,"COVID-19: UK could be 'past the pandemic' expert says as data estimates one in 40,000 symptomatic cases",https://news.sky.com/story/covid-19-uk-could-be-past-the-pandemic-expert-says-as-data-estimates-one-in-40-000-symptomatic-cases-12291109,,,,
UK,01-May,"UK Covid: infection rates below one person per 1,000 in England and Wales, ONS figures suggest – as it happened",https://www.theguardian.com/politics/live/2021/apr/30/boris-johnson-mobile-number-covid-coronavirus-politics-live-latest-updates,,,,
Netherlands,28-Apr,"Get your coronavirus test, join the party: Experimental mass events in the Netherlands draw fire",https://www.sciencemag.org/news/2021/04/get-your-coronavirus-test-join-party-experimental-mass-events-netherlands-draw-fire,,,,
Netherlands,28-Apr,"Dutch King's popularity diminished by COVID controversies, poll finds",https://www.euronews.com/2021/04/27/dutch-king-s-popularity-diminished-by-covid-controversies-poll-finds,,,,
Netherlands,28-Apr,Dutch toast 'better future' as Covid-hit cafes reopen,https://www.france24.com/en/live-news/20210428-dutch-toast-better-future-as-covid-hit-cafes-reopen,,,,
Netherlands,28-Apr,The effect of COVID-19 on global mobility and travel to the Netherlands,https://www.iamexpat.nl/expat-info/dutch-expat-news/effect-covid-19-global-mobility-and-travel-netherlands,,,,
Netherlands,28-Apr,Coronavirus in the Netherlands: what changes today,https://www.dutchnews.nl/news/2021/04/coronavirus-in-the-netherlands-what-changes-today/,,,,
Italy,28-Apr,Al fresco dining returns to Italy as COVID-19 restrictions ease,https://www.euronews.com/2021/04/28/al-fresco-dining-returns-to-italy-as-covid-19-restrictions-ease,,,,
